Group,String,Voltage (V),Current (A),Power (W)
0,0,363.98,8.7,3166.6259999999997
0,1,364.34000000000003,8.84,3220.7656
0,2,376.77,8.94,3368.3237999999997
0,3,370.78,8.97,3325.8966
0,4,370.53,9.01,3338.4752999999996
1,0,364.74,9.06,3304.5444
1,1,376.82,9.1,3429.062
1,2,376.90999999999997,9.12,3437.4191999999994
1,3,377.32,9.15,3452.478
1,4,362.28,9.18,3325.7303999999995
2,0,374.61,9.2,3446.412
2,1,368.58,9.24,3405.6792
2,2,368.75,9.27,3418.3125
2,3,393.52,9.32,3667.6064
2,4,393.55,9.37,3687.5634999999997
3,0,393.68,9.41,3704.5288
3,1,393.82,9.46,3725.5372
3,2,365.33,12.15,4438.7595
3,3,371.25,12.26,4551.525
3,4,385.08000000000004,12.37,4763.439600000001
4,0,393.84000000000003,12.46,4907.246400000001
4,1,367.49,12.51,4597.2999
4,2,392.72,12.54,4924.7088
4,3,367.92,12.59,4632.1128
4,4,377.02,12.64,4765.5328
5,0,377.39,12.65,4773.9835
5,1,383.03000000000003,12.68,4856.8204000000005
5,2,390.76,12.7,4962.652
5,3,382.26,12.72,4862.3472
5,4,380.86,12.74,4852.1564
6,0,386.13,12.77,4930.880099999999
6,1,373.12,12.79,4772.2047999999995
6,2,391.95,12.82,5024.799
6,3,387.65999999999997,12.84,4977.5544
6,4,375.25,12.87,4829.4675
7,0,382.64,12.91,4939.8823999999995
7,1,386.08,12.94,4995.8751999999995
7,2,390.61,12.98,5070.1178
7,3,376.44,13.02,4901.248799999999
7,4,377.43,13.06,4929.2358
8,0,376.21,13.17,4954.6857
8,1,364.64,13.87,5057.556799999999
8,2,365.38,14.09,5148.2042
8,3,364.93,14.2,5182.005999999999
8,4,365.8,14.28,5223.624
9,0,364.45,14.34,5226.213
9,1,366.13,14.38,5264.9494
9,2,365.79,14.43,5278.3497
9,3,368.3,14.53,5351.399
