Group,String,Position,ID,Voc,Isc,Vmp,Imp
0,0,0,236,41.11,9.69,33.09,8.7
0,0,1,228,41.09,9.67,33.07,8.71
0,0,2,400,41.09,9.68,33.07,8.71
0,0,3,185,41.09,9.68,33.07,8.72
0,0,4,161,41.11,9.68,33.08,8.74
0,0,5,102,41.13,9.69,33.1,8.76
0,0,6,85,41.15,9.7,33.12,8.8
0,0,7,371,41.16,9.71,33.13,8.8
0,0,8,86,41.1,9.68,33.08,8.82
0,0,9,478,41.12,9.69,33.09,8.83
0,0,10,288,41.11,9.68,33.08,8.83
0,1,0,320,41.17,9.71,33.13,8.84
0,1,1,124,41.15,9.7,33.12,8.86
0,1,2,268,41.12,9.69,33.09,8.86
0,1,3,53,41.18,9.72,33.14,8.86
0,1,4,25,41.09,9.67,33.07,8.88
0,1,5,405,41.17,9.71,33.13,8.9
0,1,6,15,41.19,9.72,33.15,8.9
0,1,7,312,41.16,9.71,33.12,8.91
0,1,8,465,41.13,9.69,33.1,8.93
0,1,9,306,41.15,9.7,33.12,8.93
0,1,10,26,41.21,9.73,33.17,8.94
0,2,0,127,41.16,9.71,33.13,8.94
0,2,1,133,41.19,9.72,33.15,8.94
0,2,2,205,47.66,9.97,39.23,8.94
0,2,3,351,41.2,9.73,33.16,8.95
0,2,4,381,41.2,9.73,33.16,8.95
0,2,5,368,41.17,9.71,33.13,8.96
0,2,6,115,41.09,9.68,33.07,8.96
0,2,7,303,41.16,9.71,33.13,8.96
0,2,8,282,41.22,9.74,33.18,8.96
0,2,9,227,41.21,9.73,33.16,8.96
0,2,10,304,47.71,9.99,39.27,8.97
0,3,0,67,41.17,9.71,33.13,8.97
0,3,1,304,47.71,9.99,39.27,8.97
0,3,2,424,41.22,9.74,33.18,8.97
0,3,3,176,41.15,9.7,33.12,8.99
0,3,4,241,41.18,9.72,33.15,8.99
0,3,5,348,41.17,9.72,33.14,8.99
0,3,6,481,41.21,9.73,33.17,8.99
0,3,7,214,41.21,9.73,33.16,9.0
0,3,8,109,41.17,9.71,33.13,9.0
0,3,9,428,41.22,9.74,33.17,9.01
0,3,10,358,41.2,9.73,33.16,9.01
0,4,0,169,41.15,9.7,33.12,9.01
0,4,1,248,41.1,9.68,33.07,9.02
0,4,2,279,41.11,9.68,33.09,9.02
0,4,3,422,41.25,9.75,33.2,9.02
0,4,4,262,41.09,9.67,33.07,9.03
0,4,5,2,41.21,9.73,33.17,9.03
0,4,6,289,41.22,9.74,33.18,9.03
0,4,7,409,41.24,9.75,33.19,9.04
0,4,8,275,41.1,9.68,33.08,9.04
0,4,9,494,41.12,9.69,33.1,9.05
0,4,10,245,47.71,9.99,39.26,9.06
1,0,0,1,41.25,9.75,33.2,9.06
1,0,1,193,41.18,9.72,33.15,9.06
1,0,2,17,41.19,9.72,33.15,9.07
1,0,3,189,41.27,9.76,33.21,9.07
1,0,4,28,41.15,9.7,33.12,9.08
1,0,5,72,41.18,9.72,33.14,9.08
1,0,6,449,41.25,9.75,33.2,9.09
1,0,7,237,41.11,9.68,33.09,9.09
1,0,8,404,41.19,9.72,33.15,9.09
1,0,9,293,41.24,9.75,33.19,9.09
1,0,10,393,41.18,9.72,33.14,9.1
1,1,0,284,47.68,9.98,39.24,9.1
1,1,1,103,41.12,9.69,33.1,9.1
1,1,2,107,41.24,9.75,33.19,9.1
1,1,3,110,41.24,9.75,33.19,9.11
1,1,4,295,41.17,9.71,33.13,9.11
1,1,5,390,41.19,9.72,33.15,9.11
1,1,6,387,41.26,9.76,33.21,9.11
1,1,7,24,41.11,9.69,33.09,9.12
1,1,8,347,41.22,9.74,33.18,9.12
1,1,9,38,47.66,9.97,39.23,9.12
1,1,10,139,41.15,9.7,33.11,9.12
1,2,0,495,41.2,9.73,33.16,9.12
1,2,1,90,47.68,9.97,39.24,9.13
1,2,2,96,41.14,9.7,33.11,9.13
1,2,3,493,41.27,9.76,33.22,9.13
1,2,4,16,47.75,10.01,39.3,9.14
1,2,5,352,41.16,9.71,33.13,9.14
1,2,6,69,41.15,9.7,33.12,9.14
1,2,7,380,41.18,9.72,33.14,9.14
1,2,8,285,41.16,9.71,33.12,9.14
1,2,9,141,41.21,9.73,33.17,9.15
1,2,10,125,41.26,9.75,33.2,9.15
1,3,0,287,41.26,9.76,33.21,9.15
1,3,1,95,41.22,9.73,33.17,9.15
